Zipcode,Count,changed to,done?,Column1
72019,1,75019,done,"this is completed by finding the unique zip codes and looking them up in the combined mls data file and searching corrosponding address for the correct zip. Then combined mls data file is updated, saved, and code is re-ran."
7038,1,75038,done,
75339,1,75237,done,
72241,1,75241,done,
75221,1,75211,,
76752,1,75230,,
75126,1,75182,,
75952,1,75052,,
76182,1,75182,,
75114,1,75223,,
75250,1,75240,,
75004,1,75044,,
74214,1,75214,,
75419,1,75149,,
75000,1,75248,,
76051,1,deleted not in dallas county. In grapevine,,
75031,1,75231,,
75147,1,75149,,
75187,1,75150,,
75273,1,75253,,
75200,1,75204,,
75022,1,75006,,
76034,1,75062,,
75136,1,75146,,
74244,1,75244,,
75065,1,75061,,
76095,1,75098,,
75941,1,75041,,
75247,2,deleted,,
75071,2,"75,051",75216,
75125,2,"deleted one mobile home, kept other",,
75382,2,75243,,
75207,2,"deleted, commercial",,
75034,3,75234,75043,75219
76065,4,"deleted, not in dallas county",,
75324,4,75234,,
75288,4,75228,,
75287,18,Carrollton,,
75226,23,done,east dallas,
75151,30,mesquite,,
75067,64,,,
75246,73,,,
75172,92,,,
75098,129,,,
75007,129,,,
75252,138,,,
75054,142,,,
75082,161,,,
75141,184,,,
75210,186,,,
75237,209,,,
75202,309,,,
75203,373,,,
75233,464,,,
75223,504,,,
75201,515,,,
75182,518,,,
75236,538,,,
75235,612,,,
75215,622,,,
75212,657,,,
75240,721,,,
75001,785,,,
75253,842,,,
75050,901,,,
75180,904,,,
75154,911,,,
75116,917,,,
75254,922,,,
75224,984,,,
75159,985,,,
75039,1066,,,
75232,1082,,,
75134,1086,,,
75244,1095,,,
75249,1103,,,
75038,1116,,,
75051,1126,,,
75146,1305,,,
75137,1315,,,
75061,1338,,,
75048,1361,,,
75211,1376,,,
75042,1406,,,
75220,1435,,,
75241,1446,,,
75041,1454,,,
75060,1467,,,
75231,1640,,,
75062,1760,,,
75208,1821,,,
75227,1822,,,
75234,1844,,,
75216,1904,,,
75209,1905,,,
75088,1990,,,
75205,2027,,,
75217,2038,,,
75238,2041,,,
75225,2089,,,
75081,2098,,,
75181,2107,,,
75218,2279,,,
75063,2423,,,
75006,2475,,,
75080,2623,,,
75204,2633,,,
75229,2634,,,
75243,2694,,,
75150,2729,,,
75044,2739,,,
75248,2764,,,
75089,2893,,,
75019,2906,,,
75230,2973,,,
75104,3115,,,
75052,3158,,,
75228,3267,,,
75040,3311,,,
75149,3344,,,
75219,3398,,,
75115,3498,,,
75214,3544,,,
75206,3659,,,
75043,3917,,,
