,Zip Code
75043,3918
75206,3659
75214,3545
75115,3498
75219,3399
75149,3346
75040,3311
75228,3271
75052,3159
75104,3116
75230,2974
75019,2907
75089,2893
75248,2765
75044,2740
75150,2730
75243,2696
75229,2634
75204,2634
75080,2623
75006,2476
75063,2423
75218,2279
75181,2107
75081,2098
75225,2089
75238,2041
75217,2038
75205,2027
75088,1990
75216,1905
75209,1905
75234,1849
75227,1822
75208,1821
75062,1761
75231,1641
75060,1467
75041,1455
75241,1447
75220,1435
75042,1406
75211,1377
75048,1361
75061,1339
75137,1315
75146,1307
75051,1127
75038,1117
75249,1103
75244,1096
75134,1086
75232,1082
75039,1066
75159,985
75224,984
75254,922
75116,917
75154,911
75180,904
75050,901
75253,843
75001,785
75240,722
75212,657
75215,622
75235,612
75236,538
75182,520
75201,515
75223,505
75233,464
75203,373
75202,309
75237,210
75210,186
75141,184
75082,161
75054,142
75252,138
75098,130
75007,129
75172,92
75246,73
75067,64
75151,30
75226,22
75287,18
75125,1
